STANFORD/tictactoe5;PROVER;2015-04-26;PROVER;2015-04-26;3798;2560;false;
STANFORD/tictactoe5;PROVER;2015-04-26;PROVER;2015-04-26;5195;5120;false;
STANFORD/tictactoe5;PROVER;2015-04-26;PROVER;2015-04-26;7916;10240;false;
STANFORD/tictactoe5;PROVER;2015-04-26;PROVER;2015-04-26;13063;20480;false;
BASE/sudokuGrade6H;PROVER;2015-04-26;PROVER;2015-04-26;6277;5;false;
BASE/sudokuGrade6H;PROVER;2015-04-26;PROVER;2015-04-26;6707;10;false;
BASE/sudokuGrade6H;PROVER;2015-04-26;PROVER;2015-04-26;7383;20;false;
BASE/sudokuGrade6H;PROVER;2015-04-26;PROVER;2015-04-26;6249;40;false;
BASE/sudokuGrade6H;PROVER;2015-04-26;PROVER;2015-04-26;9860;80;false;
BASE/snakeAssemblit;PROVER;2015-04-26;PROVER;2015-04-26;1154;5;false;
BASE/snakeAssemblit;PROVER;2015-04-26;PROVER;2015-04-26;811;10;false;
BASE/snakeAssemblit;PROVER;2015-04-26;PROVER;2015-04-26;1031;20;false;
BASE/snakeAssemblit;PROVER;2015-04-26;PROVER;2015-04-26;1320;40;false;
BASE/snakeAssemblit;PROVER;2015-04-26;PROVER;2015-04-26;1929;80;false;
BASE/snakeAssemblit;PROVER;2015-04-26;PROVER;2015-04-26;3198;160;false;
BASE/snakeAssemblit;PROVER;2015-04-26;PROVER;2015-04-26;5078;320;false;
BASE/snakeAssemblit;PROVER;2015-04-26;PROVER;2015-04-26;6484;640;false;
BASE/snakeAssemblit;PROVER;2015-04-26;PROVER;2015-04-26;9209;1280;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;389;5;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;408;10;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;446;20;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;490;40;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;555;80;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;661;160;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;822;320;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;1054;640;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;1585;1280;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;2501;2560;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;3891;5120;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;5686;10240;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;6947;20480;false;
BASE/blocksWorld;PROVER;2015-04-26;PROVER;2015-04-26;11339;40960;false;
DRESDEN/4pttc;PROVER;2015-04-26;PROVER;2015-04-26;790;5;false;
DRESDEN/4pttc;PROVER;2015-04-26;PROVER;2015-04-26;793;10;false;
DRESDEN/4pttc;PROVER;2015-04-26;PROVER;2015-04-26;812;20;false;
DRESDEN/4pttc;PROVER;2015-04-26;PROVER;2015-04-26;1035;40;false;
DRESDEN/4pttc;PROVER;2015-04-26;PROVER;2015-04-26;1225;80;false;
DRESDEN/4pttc;PROVER;2015-04-26;PROVER;2015-04-26;1742;160;false;
DRESDEN/4pttc;PROVER;2015-04-26;PROVER;2015-04-26;2423;320;false;
DRESDEN/4pttc;PROVER;2015-04-26;PROVER;2015-04-26;3613;640;false;
