BASE/zhadu/DlA8iQ;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30029;659;17
BASE/racetrackcorridor/k1OQRg;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30005;2676;133
BASE/gt_two_thirds_4p/DStnxQ;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;false;Test process timed out after 240 seconds;0;0;0
DRESDEN/nim4/F5YAYg;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30005;1619;121
BASE/lightsOut/5P1ZBw;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30000;16965;848
DRESDEN/crossers3/xiPTxg;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30130;166;12
BASE/twisty-passages/DiZmmg;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30082;6;0
DRESDEN/sat_test_20v_91c_visualisation/aw8BIA;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30005;3625;181
DRESDEN/hanoi7_bugfix/3gdnFw;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;31045;28;0
DRESDEN/mummymaze2p-comp2007/oTQRQg;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30034;762;16
DRESDEN/cubicup_3player/awDtsQ;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30004;5272;62
DRESDEN/backgammon/mqCW0Q;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30009;1690;10
STANFORD/multipletictactoe/_bkafQ;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30001;5533;308
BASE/guess/SPpk1A;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30044;190;19
BASE/kalaha5x2x3/WviNsw;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30039;584;6
BASE/ttcc4/Le0qjQ;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30001;753;26
BASE/cephalopodMicro/9l2D3g;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30006;566;12
DRESDEN/brain_teaser_extended/ZDp94A;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30000;31921;2128
DRESDEN/catcha_mouse/cHv4dw;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30001;10219;757
BASE/checkersTorusNoKings/pwb6oQ;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30017;629;10
BASE/knightsTour/mvtVIg;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30001;7068;1474
STANFORD/nineboardtictactoe/y28P-A;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30001;4877;168
BASE/tttcc4/8Bs2lg;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30004;778;27
BASE/blobwars/0XT15Q;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;32379;10;0
DRESDEN/buttons/ADUaHw;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30000;69195;11532
BASE/pancakes/yUgbXw;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30018;556;13
BASE/wargame03/klXI8w;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30172;28;2
BASE/hanoi7_bugfix/3gdnFw;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30649;27;0
BASE/blocks2player/wnTLOQ;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30000;38947;2163
DRESDEN/connectfour/5tc-Mg;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30000;8309;368
BASE/quarto/EwBMVQ;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30142;118;5
BASE/quad_5x5/JAEP5g;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30114;141;9
BASE/dotsAndBoxes/EHwA_w;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30001;1193;19
BASE/pacman2p/4LEdQg;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30045;529;8
DRESDEN/latenttictactoe/kITHKg;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30000;17605;1669
DRESDEN/uf20-020.cnf.SAT.satlike/WbqXoA;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30796;12;0
BASE/mineClearingSmall/frsbvw;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30013;1857;153
DRESDEN/breakthrough/z4hK7Q;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30006;1027;15
STANFORD/bestbuttonsandlights/nm0wEA;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30000;28437;4739
STANFORD/skirmish/w4V6Vw;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30085;73;0
BASE/factoringImpossibleTurtleBrain/kcBhdw;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30013;119;1
DRESDEN/four_way_battle/xSOQXA;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30369;48;1
DRESDEN/snake_2008/E56l3A;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30025;335;21
BASE/ttcc4_2player_alt/ZEJvYA;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30045;530;12
BASE/crissrace/ERWGDA;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30012;1800;40
STANFORD/buttonsandlights/eyhJpA;REKKURA_GENERIC_BACKWARD_PROVER_OSTD;1.0.0;true;;30000;71181;11863
