DRESDEN/uf20-020.cnf.SAT/hDrW_A;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30001;27871;1393
DRESDEN/queens/mW2wHQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30013;12520;1252
BASE/numbertictactoe/rvJ-iQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;47008;5851
BASE/skirmishNew/sibw2g;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30001;3316;33
DRESDEN/cubicup/SBn_lw;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30002;7921;141
DRESDEN/peg_bugfixed/u_B7MA;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30001;13285;544
BASE/mummymaze2p/vpjDdA;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;31748;648
BASE/sudokuGrade6H/ieE_9A;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30034;671;14
STANFORD/multiplesukoshi/vLSQPg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30005;3291;71
BASE/checkers-mustjump-torus/uSApKQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30015;1718;40
BASE/tictactoe_3d_small_6player/g_9lww;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;8438;230
BASE/futoshiki6/JmvXNA;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;5745;285
BASE/gt_chicken/gmepTQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;117005;5850
BASE/choicethroughalt/tt71Lg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30001;11087;276
STANFORD/threepuzzle/41ibjA;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;191996;31999
DRESDEN/towerworld/HCX34w;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30008;744;1
BASE/sum15/QZ07Kg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;110407;14478
BASE/sudokuGrade3/eI8dvg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30042;676;17
BASE/kitten_escapes_from_fire/uW-YiA;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;100336;12082
BASE/colonelBlottoVariant/X-n-KQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;152739;15273
BASE/sudokuGrade4/DTy07w;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30038;680;17
DRESDEN/pawntoqueen/f_x6Aw;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30031;480;35
BASE/3pConnectFour/PqXOFQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30007;9734;284
BASE/lightsOnSimul4/9FeASw;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;39527;6155
BASE/knightazons/apnJBQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30002;5673;84
DRESDEN/smallest_4player/ADDROA;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;76098;3226
BASE/troublemaker02/DI83KA;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;532280;177599
BASE/blocksWorld/SEdXLQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;224351;74783
BASE/factoringEasyTurtleBrain/lUj94Q;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;113903;1898
BASE/peg/fJHVWw;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30002;12659;519
DRESDEN/Runners/3bOCQw;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;361583;7379
DRESDEN/hallway/0H4l-Q;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30003;8133;271
BASE/dotsAndBoxesSuicide/jzQbLw;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;17106;285
BASE/tictactoe_3d_6player/d7KSwg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30006;2916;27
DRESDEN/cube_2x2x2/fp-34Q;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;58994;4918
DRESDEN/aipsrovers01/qS47Mw;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;101347;3501
BASE/brawl/6Ymo_Q;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30005;3548;354
DRESDEN/blockerparallel/dVQgSg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;19197;2743
BASE/hitori/S8Gsyg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30004;1931;20
DRESDEN/connectfour/5tc-Mg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;14759;661
BASE/racer4/0vs7Ww;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30002;11541;528
BASE/gt_tinfoil/Q8DyKg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;226575;22657
BASE/stateSpaceLarge/0Ge_CQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;35659;2547
DRESDEN/babel/WdSW4A;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30001;4733;236
BASE/duplicateStateLarge/dcjyuw;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;23524;1680
DRESDEN/3qbf-5cnf-20var-40cl.1.qdimacs.viz.SAT/2034pg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;25695;440
DRESDEN/backgammon/mqCW0Q;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30003;5818;30
STANFORD/pentago/ZxzLmg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30003;8475;152
DRESDEN/cubicup_3player/awDtsQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30009;3580;42
STANFORD/pilgrimage/ObRZnQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30002;12329;169
DRESDEN/mummymaze2p-comp2007/oTQRQg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;41298;873
BASE/blockerSerial/3eqDuw;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;30816;1955
BASE/wallmaze/uxNQ9g;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;21304;734
BASE/kalaha_2009/dRiN3g;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;34958;417
BASE/othelloHoles/c0qAzw;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30262;89;1
BASE/snake_2009_big/-oRfVw;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30001;8636;496
BASE/queens08lg/Ru7eqQ;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30001;7138;1161
DRESDEN/latenttictactoe/kITHKg;ALLOY_DUALIZED_PROVER;2016-01-08;true;;30000;40008;3800
