DRESDEN/babel/WdSW4A;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;1836903;91845
BASE/duplicateStateLarge/dcjyuw;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;9086954;649068
DRESDEN/3qbf-5cnf-20var-40cl.1.qdimacs.viz.SAT/2034pg;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;13846594;237755
DRESDEN/backgammon/mqCW0Q;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;909003;4911
STANFORD/pentago/ZxzLmg;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;2719303;49638
DRESDEN/cubicup_3player/awDtsQ;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;1490476;17743
STANFORD/pilgrimage/ObRZnQ;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;1680026;23030
DRESDEN/mummymaze2p-comp2007/oTQRQg;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;2782753;59189
BASE/blockerSerial/3eqDuw;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;2377704;150773
BASE/wallmaze/uxNQ9g;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;3880750;133819
BASE/kalaha_2009/dRiN3g;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;52434;631
BASE/othelloHoles/c0qAzw;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;110771;1960
BASE/snake_2009_big/-oRfVw;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;941329;52420
BASE/queens08lg/Ru7eqQ;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;4417692;717303
DRESDEN/latenttictactoe/kITHKg;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;2879156;273626
DRESDEN/uf20-020.cnf.SAT.satlike/WbqXoA;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;30065;1503
DRESDEN/ticblock/Z2yNWQ;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;5044639;305400
BASE/connectFourSuicide/c8p9Kw;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;7520781;336547
BASE/4pttc/AL1k2Q;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;1271750;40483
BASE/beatMania/qUHwvQ;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;6655579;110926
DRESDEN/laikLee_hex/ZeP3QQ;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;false;Exception of type StackOverflowError;0;0;0
BASE/breakthroughWalls/vOZaYA;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;755352;11707
BASE/blocksWorldParallel/RseaAQ;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;2388766;796255
BASE/point_grab/r5DPmQ;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;13318027;443934
DRESDEN/blocks2player/3ev8nQ;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;4206738;233712
BASE/chickentoetictac/l57rfQ;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;4984534;700914
BASE/quartoSuicide/-23jUg;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;849493;36439
BASE/hallway/ckCJOw;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;322689;10756
STANFORD/triplesukoshi/Iu9mbA;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;2880018;411431
BASE/ticblock/T21C1g;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;4646753;281321
BASE/gt_dollar/TGjqRw;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;3295973;1648303
BASE/wargame02/BkVqqQ;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;196396;65576
DRESDEN/quad/JPe6fg;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;369752;7998
BASE/breakthrough/TGxk-g;ALLOY_DUALIZED_DIFF_PROP_NET;2016-01-08;true;;30000;791334;12355
