BASE/slidingpieces;PROVER;2015-04-26;true;;30001;8192;101
DRESDEN/3qbf-5cnf-20var-40cl.2.qdimacs.satlike;PROVER;2015-04-26;true;;30000;26328;450
DRESDEN/mimikry;PROVER;2015-04-26;true;;30000;20890;865
DRESDEN/point_grab;PROVER;2015-04-26;true;;30000;293036;9767
BASE/blockerSerial;PROVER;2015-04-26;true;;30000;30189;1918
STANFORD/sukoshi;PROVER;2015-04-26;true;;30000;37750;6950
BASE/buttons;PROVER;2015-04-26;true;;30000;490853;81808
STANFORD/untwistycorridor;PROVER;2015-04-26;true;;30000;575198;82171
DRESDEN/SC_TestOnly_enabled;PROVER;2015-04-26;true;;30000;80373;8930
DRESDEN/smallest_4player;PROVER;2015-04-26;true;;30000;82809;3510
BASE/gt_two_thirds_2p;PROVER;2015-04-26;true;;30000;55056;55056
BASE/ad_game_2x2;PROVER;2015-04-26;true;;30000;19786;10403
DRESDEN/uf20-01.cnf.SAT;PROVER;2015-04-26;true;;30001;23893;1194
BASE/aipsrovers01;PROVER;2015-04-26;true;;30000;102302;3535
BASE/othelloSuicide;PROVER;2015-04-26;true;;30075;76;1
DRESDEN/latenttictactoe;PROVER;2015-04-26;true;;30000;43151;4087
BASE/checkersTorusNoKings;PROVER;2015-04-26;true;;30000;11559;195
DRESDEN/blocks2player;PROVER;2015-04-26;true;;30000;160599;8922
BASE/ticTacHeaven;PROVER;2015-04-26;true;;30003;5297;223
BASE/ttcc4_2player_small;PROVER;2015-04-26;true;;30000;24850;1630
BASE/ticTicToe;PROVER;2015-04-26;true;;30000;51519;10271
BASE/blocksWorldSerial;PROVER;2015-04-26;true;;30000;86223;14370
BASE/tictactoe_3d_small_2player;PROVER;2015-04-26;true;;30000;20525;1653
DRESDEN/sum15;PROVER;2015-04-26;true;;30000;104656;13703
BASE/checkers-mustjump-torus;PROVER;2015-04-26;true;;30005;3760;86
BASE/onestep;PROVER;2015-04-26;true;;30000;823696;823696
DRESDEN/mummymaze1p;PROVER;2015-04-26;true;;30000;39736;6839
BASE/knightThrough;PROVER;2015-04-26;true;;30000;27810;827
BASE/hanoi7_bugfix;PROVER;2015-04-26;true;;30000;141625;1115
BASE/crossers3;PROVER;2015-04-26;true;;30000;22020;1671
