DRESDEN/vacuumcleaner_obstacles_2;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
BASE/checkers-mustjump-torus;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
BASE/ttcc4_2player_small;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
BASE/aipsrovers01;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/vacuumcleaner_random;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
STANFORD/untwistycomplex;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
STANFORD/breakthrough;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
BASE/buttons;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/kitten_escapes_from_fire;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/babel;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/brain_teaser_extended;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
STANFORD/pentago;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
BASE/ad_game_2x2;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
BASE/gt_two_thirds_2p;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/pawntoqueen;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/sat_test_20v_91c;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
BASE/colonelBlotto;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/tictactoeparallel;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
BASE/tictactoe_3d_small_2player;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/chinesecheckers6;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/vacuumcleaner_obstacles_1;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/knightmove;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/bidding-tictactoe;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
BASE/ticTacHeaven;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/statespacelarge;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/merrills;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
BASE/knightThrough;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/blocksworldparallel;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/mummymaze2p-comp2007;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
BASE/blocksWorldSerial;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
DRESDEN/quad_5x5_8_2;COMPILED_PROVER;1;PROVER;2015-04-26;1000;false;
